Initial BitLen: 3 	 10 trials per BitLen 
BitLen 	 CPU time used 	 n 	 public key 	 private key
16 	 0.140625 	 3763264831 	 43957 	 2733943213
16 	 0.125 	 2593861013 	 40501 	 1551862141
16 	 0.171875 	 2509029587 	 50243 	 2461538795
16 	 0.125 	 2595675083 	 48709 	 1240209037
17 	 0.265625 	 12852411917 	 78509 	 6481669469
17 	 0.34375 	 9151217371 	 100889 	 7948562345
17 	 0.375 	 7233987659 	 117709 	 15609589
17 	 0.40625 	 9483492049 	 115481 	 7934925065
17 	 0.359375 	 13359437899 	 109933 	 12722433277
17 	 0.421875 	 7942390151 	 114209 	 236091809
17 	 0.25 	 6992312497 	 72323 	 1103112107
17 	 0.484375 	 11611637243 	 128453 	 6313860365
17 	 0.28125 	 9685721939 	 74981 	 5203090541
17 	 0.328125 	 11314593337 	 74979 	 419503819
18 	 0.609375 	 43786647587 	 164183 	 2015921447
18 	 0.65625 	 51920016677 	 179929 	 42954997009
18 	 0.796875 	 31280402779 	 231563 	 14415294227
18 	 0.90625 	 21999849191 	 259933 	 5202372949
18 	 0.5 	 37342196897 	 136663 	 4099420903
18 	 1.0625 	 33503054789 	 254033 	 7930664249
18 	 0.765625 	 23392099537 	 172703 	 4151665951
18 	 0.8125 	 40258348847 	 199283 	 8673671099
18 	 0.78125 	 46117445749 	 200531 	 35039604443
18 	 0.71875 	 32348453147 	 187331 	 1647182915
19 	 1.046875 	 154682532611 	 279233 	 35137184897
19 	 1.4375 	 181991352847 	 325051 	 79868975899
19 	 1.34375 	 121457709641 	 313351 	 24806839
19 	 1.578125 	 160687846399 	 390751 	 154458594031
19 	 1.71875 	 130590765307 	 309961 	 42139119825
19 	 2.578125 	 121297854901 	 498651 	 73287268383
19 	 1.265625 	 180936439097 	 345569 	 104035253489
19 	 1.890625 	 106012091821 	 487723 	 2410086787
19 	 1.09375 	 231355279829 	 290287 	 188213530483
19 	 1.328125 	 131170057817 	 327199 	 36802088887
20 	 4.34375 	 819607410719 	 1040431 	 107393178511
20 	 4.234375 	 982780553527 	 707141 	 498035963309
20 	 3.65625 	 553386734273 	 874927 	 8909929231
20 	 4.15625 	 394703432797 	 849871 	 48654193071
20 	 3.28125 	 395655201241 	 824617 	 149237529481
20 	 2.515625 	 688383018727 	 633833 	 530472390857
20 	 2.328125 	 589512056117 	 618937 	 46579879573
20 	 3.25 	 287812677073 	 976961 	 200405593121
20 	 4.0 	 805168675177 	 993373 	 519304605349
20 	 3.28125 	 790546169209 	 804139 	 539257644679
21 	 11.03125 	 2607764396437 	 2033679 	 2096681108519
21 	 9.5625 	 2650439599021 	 1578251 	 1217755678191
21 	 7.953125 	 2574168903437 	 1585429 	 1836318803485
21 	 6.125 	 3406871927971 	 1263917 	 2950759972733
21 	 11.328125 	 2321866317007 	 2010633 	 634738444729
21 	 10.125 	 2638235082787 	 2018689 	 257412951489
21 	 6.84375 	 1809383139569 	 1434319 	 636230429311
21 	 6.640625 	 1942392120209 	 1579147 	 16609018963
21 	 10.046875 	 1463955835627 	 2060999 	 131061895991
21 	 6.8125 	 3686550264437 	 1657259 	 905396203139
22 	 10.65625 	 8752664152913 	 2595779 	 2475999243419
22 	 15.28125 	 9259319387657 	 3400279 	 5040389174119
22 	 15.546875 	 14386854527537 	 3258319 	 3552810313627
22 	 12.5 	 7856822014039 	 2859911 	 7485320279951
22 	 13.8125 	 6004388490619 	 2776157 	 1473038993069
22 	 9.84375 	 9681155864453 	 2287063 	 1020179656807
22 	 12.40625 	 9034961269297 	 2375171 	 2811467990339
22 	 27.296875 	 10845154707769 	 4157107 	 4368616886411
22 	 18.734375 	 10552585050031 	 3591533 	 2311547312845
22 	 10.234375 	 7196292226619 	 2324677 	 2661646405453
23 	 21.375 	 38559098875943 	 4293247 	 32865207866599
23 	 25.890625 	 39971174602657 	 5412541 	 10641051317653
23 	 33.359375 	 23302624386947 	 7747567 	 3301170683023
23 	 38.296875 	 51309121864813 	 7472597 	 5236077090173
23 	 37.171875 	 30335763516229 	 8001397 	 19936925261641
23 	 36.890625 	 27926523747497 	 7676993 	 27634617717809
23 	 19.890625 	 34868169238013 	 4203253 	 26654832180553
23 	 44.390625 	 52205319569399 	 8293913 	 38698680413105
23 	 23.0625 	 29757389480891 	 4980605 	 24827615853077
23 	 31.9375 	 20788890776477 	 6307333 	 20432611913389
24 	 62.640625 	 225298160802019 	 12835729 	 121738876684489
24 	 57.375 	 139103275119637 	 11645965 	 128157991924645
24 	 68.4375 	 182154057651677 	 12506605 	 150932044724761
24 	 64.84375 	 175531178832313 	 13890701 	 117387338565461
24 	 78.53125 	 112977817780171 	 12278095 	 58622545251631
24 	 60.609375 	 116405411813147 	 11411213 	 41506086185405
24 	 69.828125 	 205644197462191 	 13462879 	 49257712327903
24 	 90.796875 	 136295376070459 	 15836459 	 21588795659939
24 	 62.828125 	 104015446617611 	 14789947 	 20667327389683
24 	 59.984375 	 120210000843061 	 14203757 	 95641919072393
25 	 186.171875 	 621565573339343 	 32993147 	 527601069876947
25 	 182.421875 	 406829850209521 	 32222651 	 118528787271539
25 	 89.9375 	 446037397190123 	 21173447 	 318201593471063
25 	 203.6875 	 661677528687667 	 27758867 	 540863944471851
25 	 126.03125 	 438305445497957 	 26701369 	 427693030430089
25 	 90.546875 	 491247023933411 	 16804817 	 221876240733449
25 	 159.546875 	 502986892720007 	 32881339 	 411729214518259
25 	 116.4375 	 553457826519193 	 20845891 	 520025922090379
25 	 149.328125 	 574252468442011 	 21938445 	 199078606592349
25 	 139.3125 	 903102091201181 	 24258203 	 190921088797055
26 	 220.328125 	 3022558746225533 	 42230135 	 2215784487585863
26 	 221.09375 	 1921655146217563 	 33732811 	 959671413678011
26 	 218.65625 	 2287455122718709 	 38775829 	 1215924982278865
26 	 272.078125 	 2234243315986237 	 56076743 	 1119455051743607
26 	 445.703125 	 1861608794694223 	 60179347 	 9828305553643
26 	 312.859375 	 1757336228551481 	 60392771 	 827543473699931
